Frecuencia de transito nocturna,Zona,Estrato,Que tan agradable es transitar?,Las caracteristicas de la zona:,Cantidad de personas le generan:,Zona segura si hay presencia de:,Los andenes le permiten:,Medio de transporte que utiliza,Que sensacion experimenta en TP?,Hora militar,Edad,Actividad Principal,Escolaridad
1,Engativá,3,3,6,2,3,1,1,2,21:00:00,21,3,7
1,Suba,4,2,2,3,3,1,5,1,19:00:00,22,2,5
1,Suba,3,2,2,2,3,1,1,2,21:00:00,29,2,9
1,Engativá,3,2,2,2,1,2,1,3,21:00:00,39,1,8
3,Engativá,3,3,5,6,3,1,1,2,88,54,1,5
1,Antonio Nariño,3,3,1,2,1,1,1,2,17:00:00,26,1,8
1,Tunjuelito,2,2,1,1,3,1,1,2,20:00:00,55,1,8
1,Puente Aranda,3,3,5,5,3,1,1,12,19:30:00,32,3,8
3,Ciudad Bolívar,2,2,4,1,2,2,1,2,22:00:00,20,1,5
1,Suba,3,1,1,1,3,1,1,2,18:00:00,23,2,7
2,Fontibón,4,3,1,2,1,1,4,11,18:00:00,23,2,7
1,Usaquén,4,1,2,2,3,2,1,4,19:00:00,38,1,8
1,Fontibón,3,2,2,1,3,1,1,12,22:00:00,40,1,8
1,Ciudad Bolívar,3,2,2,2,3,1,1,2,22:00:00,42,4,8
1,San Cristóbal,3,2,1,1,3,2,1,2,88,21,3,7
1,Suba,3,3,1,5,3,1,9,3,18:00:00,30,3,7
1,Suba,3,3,5,5,3,1,5,1,88,23,1,9
1,Ciudad Bolívar,1,2,5,2,3,1,1,11,18:00:00,18,3,5
2,Rafael Uribe Uribe,3,1,4,1,1,1,1,4,22:00:00,27,1,9
1,Rafael Uribe Uribe,3,2,2,1,1,2,1,4,22:00:00,57,1,3
1,San Cristóbal,2,2,1,1,1,2,1,2,19:00:00,25,1,8
1,Bosa,2,3,3,4,3,1,1,3,18:00:00,28,4,6
1,Usaquén,3,4,6,6,3,2,1,4,20:00:00,22,1,8
1,Rafael Uribe Uribe,2,3,6,1,3,2,1,2,18:00:00,15,2,5
1,Rafael Uribe Uribe,2,2,6,1,3,2,10,1,18:00:00,35,1,6
1,Fontibón,3,4,6,7,3,1,1,1,22:00:00,21,1,7
3,Barrios Unidos,4,3,1,7,1,2,6,10,22:00:00,37,1,8
1,Usaquén,6,2,1,7,3,2,1,2,23:00:00,23,2,8
1,Usaquén,4,2,2,5,4,2,4,2,21:00:00,23,1,8
2,Teusaquillo,4,3,5,4,1,2,5,1,19:00:00,20,2,7
1,Usme,3,3,6,5,1,2,1,2,23:00:00,18,2,7
1,Suba,3,2,6,7,3,2,1,4,23:00:00,23,3,7
1,Suba,3,2,6,1,1,1,1,2,21:00:00,18,2,7
1,Suba,4,3,3,4,1,1,1,6,19:00:00,21,3,5
1,Kennedy,3,2,1,1,1,1,1,10,22:00:00,17,2,7
1,Ciudad Bolívar,2,2,2,1,1,1,1,2,18:00:00,16,2,4
3,Bosa,2,2,1,5,3,2,1,2,88,31,4,8
3,Kennedy,2,2,2,6,3,1,3,2,22:00:00,26,2,7
1,Sumapaz,3,2,2,4,3,2,1,2,20:00:00,23,1,8
1,Ciudad Bolívar,2,2,2,1,1,2,1,2,22:00:00,37,4,8
1,Usaquén,3,3,2,3,3,2,6,2,21:00:00,19,7,6
3,Sumapaz,3,1,1,4,3,2,1,2,22:00:00,17,2,7
1,Sumapaz,2,2,1,1,3,2,1,3,19:00:00,40,1,7
1,Usaquén,2,3,6,6,3,1,3,3,18:00:00,25,1,8
3,Teusaquillo,4,2,2,3,2,2,1,2,21:00:00,27,99,7
1,San Cristóbal,2,2,2,3,4,2,1,2,22:00:00,19,3,6
1,Sumapaz,3,2,2,2,1,1,1,1,23:00:00,26,3,8
1,Bosa,2,3,2,4,3,2,9,3,22:00:00,18,2,7
1,Engativá,2,3,5,6,1,1,9,11,19:00:00,36,1,6
1,Sumapaz,3,3,5,6,3,2,1,7,19:00:00,17,2,7
2,Engativá,3,3,5,6,3,2,1,4,18:00:00,31,3,8
2,Kennedy,3,2,2,7,1,2,1,12,88,27,1,8
1,Engativá,2,2,1,4,3,2,1,1,22:00:00,19,1,4
2,Puente Aranda,4,2,1,5,1,2,1,12,20:00:00,38,1,8
3,Usme,1,2,3,7,1,2,1,5,19:00:00,29,1,5
1,Bosa,2,2,1,4,1,2,1,2,22:00:00,50,1,4
2,Rafael Uribe Uribe,3,2,1,6,3,2,1,2,22:00:00,48,1,9
2,Teusaquillo,4,2,1,3,3,1,1,5,20:00:00,18,2,7
2,Teusaquillo,4,2,6,7,2,1,7,12,20:00:00,34,3,8
2,Teusaquillo,4,2,3,1,3,2,1,9,88,62,1,6
3,Soacha,2,2,2,2,2,2,1,11,88,23,1,6
3,Engativá,3,4,5,5,3,1,1,5,19:00:00,50,1,9
1,Teusaquillo,4,4,3,4,3,1,1,2,19:00:00,35,1,9
2,99,2,1,2,1,3,1,1,2,18:00:00,24,3,7
2,Teusaquillo,4,2,2,2,3,1,1,2,88,16,2,4
3,Kennedy,3,3,5,5,2,2,1,7,20:00:00,30,1,8
2,Rafael Uribe Uribe,2,3,5,4,3,2,1,2,88,50,1,5
2,Soacha,3,2,2,1,3,2,1,2,88,20,1,4
3,Antonio Nariño,3,3,3,5,3,1,1,2,19:00:00,46,1,9
3,Teusaquillo,3,1,1,1,3,2,1,2,88,29,3,8
1,Engativá,3,2,4,6,3,2,1,2,20:00:00,17,2,5
1,Puente Aranda,3,4,4,5,3,2,3,2,88,25,4,8
1,Soacha,3,2,2,6,3,2,1,2,21:00:00,17,3,5
2,Engativá,3,2,2,3,3,1,1,5,88,43,1,6
1,Suba,2,4,4,4,3,1,1,4,88,23,1,6
1,Engativá,2,2,2,1,3,2,1,2,22:00:00,20,1,5
1,Engativá,3,3,5,1,3,1,1,11,18:00:00,53,5,8
1,Teusaquillo,4,2,4,3,3,1,6,2,88,36,1,8
3,Teusaquillo,4,2,1,1,3,2,1,2,21:00:00,20,2,7
1,Chapinero,3,2,1,6,3,2,1,1,12:00:00,21,1,5
1,Soacha,3,3,5,5,3,2,1,10,22:00:00,28,1,7
3,Soacha,3,3,7,5,3,1,1,2,22:00:00,40,1,6
2,Fontibón,4,2,2,4,3,2,1,8,22:00:00,22,2,5
3,Soacha,3,3,7,6,1,2,1,2,22:00:00,27,3,6
1,Usaquén,3,3,3,5,3,1,1,11,88,24,3,7
3,Ciudad Bolívar,1,3,1,2,3,2,1,2,88,19,3,6
3,Bosa,2,2,2,1,3,2,1,2,22:00:00,24,3,7
1,Engativá,4,3,4,4,3,2,1,2,22:00:00,34,1,4
3,Suba,2,2,6,3,2,1,1,2,21:00:00,31,1,6
3,Teusaquillo,5,2,1,7,3,1,1,2,88,18,2,5
3,Teusaquillo,4,2,2,3,3,2,1,2,13:00:00,21,3,8
3,Usme,2,2,2,2,3,2,1,2,22:00:00,19,3,6
2,Suba,3,3,2,5,3,1,1,3,20:00:00,31,1,6
3,Suba,4,3,5,2,3,2,1,3,88,23,1,9
2,Teusaquillo,4,2,6,7,3,1,1,2,20:00:00,28,1,9
1,Ciudad Bolívar,2,2,1,2,3,1,1,2,19:00:00,30,1,4
3,Teusaquillo,4,3,1,3,1,1,1,2,20:00:00,15,2,4
3,Teusaquillo,4,4,3,4,3,1,1,5,88,32,1,9
2,San Cristóbal,2,3,6,7,3,2,1,2,20:00:00,34,3,8
1,Suba,4,2,5,5,3,1,1,2,17:30:00,26,1,8
3,Teusaquillo,4,3,7,6,3,1,1,5,18:00:00,44,1,9
2,Teusaquillo,4,3,1,2,3,2,1,3,19:00:00,28,1,9
1,Ciudad Bolívar,2,2,5,7,1,1,1,2,20:00:00,21,2,6
1,Soacha,3,2,1,1,3,2,1,2,88,21,2,5
1,Usaquén,4,2,2,2,3,2,1,3,88,24,2,5
1,Suba,3,2,2,2,3,2,1,3,19:00:00,47,1,9
1,Usme,1,2,2,3,2,1,1,2,17:00:00,22,1,6
3,San Cristóbal,2,2,1,7,3,2,1,2,21:00:00,24,2,7
3,Santa Fe,2,3,3,4,3,2,1,2,88,24,1,9
1,Teusaquillo,3,2,4,1,3,1,6,2,21:00:00,43,1,9
3,Usme,2,2,1,2,2,1,1,2,21:00:00,46,1,9
3,Engativá,3,2,6,1,2,1,1,2,21:00:00,48,1,6
1,Usme,3,2,1,1,3,2,1,3,19:00:00,36,1,8
3,Teusaquillo,4,2,1,7,3,1,1,2,88,22,2,7
3,Teusaquillo,4,3,5,3,1,1,1,2,20:00:00,31,3,8
3,Teusaquillo,4,2,2,2,3,3,1,2,88,62,1,9
3,Teusaquillo,4,2,2,2,3,1,1,7,21:00:00,28,1,8
3,Teusaquillo,4,2,2,7,2,2,1,6,23:00:00,23,2,9
3,Teusaquillo,4,1,3,1,1,2,1,12,88,22,1,6
3,Antonio Nariño,3,2,3,4,1,2,3,11,20:00:00,31,1,9
2,Usaquén,2,2,1,7,3,2,1,6,20:00:00,26,1,8
3,Ciudad Bolívar,1,1,2,1,3,2,3,3,20:30:00,29,1,5
2,Tunjuelito,2,2,2,3,3,2,1,2,23:00:00,49,1,5
2,Bosa,2,2,1,3,1,2,1,2,88,50,1,4
2,Kennedy,3,2,1,3,1,2,1,4,20:00:00,27,1,5
3,San Cristóbal,2,2,5,2,3,1,1,2,23:30:00,34,1,8
3,Rafael Uribe Uribe,3,2,4,3,1,1,1,2,88,60,1,5
3,Puente Aranda,3,2,3,3,1,2,1,3,17:00:00,54,1,6
2,Teusaquillo,4,3,1,1,3,2,4,10,20:00:00,38,3,9
3,Kennedy,3,2,1,2,1,2,3,2,20:00:00,26,1,8
3,Bosa,2,2,2,3,1,2,1,11,22:00:00,30,1,8
3,Teusaquillo,5,2,4,3,3,1,1,3,23:00:00,32,1,8
3,Suba,2,2,1,1,1,2,1,1,22:00:00,28,1,8
3,Soacha,4,3,5,6,3,2,1,3,20:00:00,20,1,8
1,Soacha,2,2,1,1,1,2,1,4,20:00:00,38,5,6
1,Rafael Uribe Uribe,3,1,4,3,3,2,1,2,22:00:00,49,5,4
3,Teusaquillo,4,2,1,7,3,2,1,1,20:00:00,50,1,8
3,Kennedy,2,2,4,1,1,1,3,4,88,42,1,5
2,Bosa,2,1,1,2,1,1,3,4,88,34,1,5
3,Engativá,2,2,3,1,3,2,3,5,23:00:00,30,1,9
3,Bosa,2,2,2,1,4,2,1,4,88,27,1,4
3,Kennedy,1,2,5,4,3,2,1,11,18:00:00,36,1,3
3,Teusaquillo,4,1,1,2,3,1,3,13,88,20,2,4
3,Teusaquillo,4,2,2,2,3,2,1,3,88,23,2,7
2,Suba,4,2,1,7,3,2,1,13,1900-01-01 00:00:00,55,5,5
3,Teusaquillo,4,2,3,4,3,2,1,3,23:00:00,22,2,8
3,Kennedy,2,3,1,2,1,2,3,13,18:00:00,40,1,5
3,Suba,3,2,2,1,1,2,3,12,21:00:00,50,1,9
3,Engativá,4,3,5,7,3,1,3,2,88,46,1,5
3,Engativá,2,2,5,5,1,1,3,2,19:00:00,53,1,6
2,Fontibón,4,2,4,2,1,2,3,1,19:00:00,26,1,8
3,Kennedy,3,3,5,1,1,1,3,3,18:00:00,49,99,5
3,Kennedy,3,3,6,5,3,2,3,2,18:00:00,42,99,6
3,Engativá,3,3,2,2,1,2,3,8,17:00:00,50,1,8
3,Engativá,3,3,5,5,1,1,3,12,88,34,99,6
1,Engativá,2,3,1,2,3,1,4,1,22:00:00,67,6,5
3,Fontibón,3,2,6,2,1,1,4,1,22:00:00,26,1,9
3,Kennedy,3,1,1,1,1,2,4,4,19:00:00,41,1,9
3,Engativá,3,2,1,8,1,1,4,1,23:00:00,22,3,7
2,Suba,3,1,2,4,3,2,1,13,22:00:00,39,1,6
2,Kennedy,2,2,2,8,1,2,3,11,88,35,1,8
3,Kennedy,3,2,4,1,3,2,3,10,22:00:00,42,1,8
3,Engativá,4,1,1,7,3,2,1,1,88,39,1,9
2,Engativá,3,1,1,1,2,2,3,1,19:00:00,30,1,9
2,Suba,3,3,1,1,3,1,1,1,88,35,3,5
3,Teusaquillo,4,3,3,5,3,2,5,1,19:00:00,21,3,7
2,Ciudad Bolívar,1,2,2,4,3,1,4,2,23:00:00,22,1,6
2,Suba,2,1,1,7,3,2,3,13,17:00:00,43,1,5
3,Barrios Unidos,4,1,1,3,3,3,1,2,88,65,6,8
1,Teusaquillo,4,3,3,5,3,2,9,3,20:00:00,53,1,9
3,Suba,3,2,2,1,3,2,4,2,88,26,1,5
2,Ciudad Bolívar,2,4,5,1,3,2,1,5,20:00:00,37,4,5
1,Rafael Uribe Uribe,2,2,6,3,3,2,1,2,20:00:00,61,1,1
2,Engativá,2,2,1,3,3,1,1,12,21:00:00,25,1,5
3,Puente Aranda,3,3,3,7,3,1,1,2,20:00:00,28,1,8
3,San Cristóbal,2,2,3,1,2,2,1,3,21:00:00,56,1,3
3,Suba,3,3,1,1,1,1,1,3,21:00:00,49,1,8
3,Bosa,2,3,3,4,3,1,1,2,20:00:00,44,1,5
3,Bosa,2,3,4,6,1,2,9,1,88,36,1,5
2,Teusaquillo,4,2,1,2,3,2,1,2,88,27,1,9
3,Kennedy,2,2,1,7,1,2,1,3,88,21,1,5
3,Tunjuelito,3,2,6,6,4,2,1,2,22:00:00,28,1,8
1,Usaquén,4,3,2,2,3,2,1,12,21:00:00,52,1,8
3,Fontibón,3,2,1,1,3,2,1,1,21:00:00,55,1,6
3,Teusaquillo,3,2,1,1,3,2,1,1,20:00:00,58,1,7
3,Fontibón,3,2,2,1,3,2,1,2,88,25,1,5
2,Usme,2,2,1,1,3,2,1,2,88,24,1,6
3,Ciudad Bolívar,1,2,1,1,1,1,1,3,88,41,1,4
2,Kennedy,2,2,1,7,3,2,3,10,88,46,1,3
3,Rafael Uribe Uribe,2,3,6,1,3,2,1,1,88,23,1,8
3,San Cristóbal,2,2,1,5,3,2,1,12,23:00:00,28,1,9
3,Teusaquillo,4,2,1,7,2,2,4,12,88,20,2,7
2,Soacha,3,2,1,1,3,2,1,1,21:00:00,30,1,5
2,Rafael Uribe Uribe,2,3,1,3,3,2,1,2,21:00:00,44,1,5
2,Teusaquillo,4,2,2,4,1,2,1,2,21:00:00,19,2,7
3,Usaquén,3,2,1,3,3,2,1,12,22:00:00,56,1,8
3,Teusaquillo,6,2,2,3,3,2,3,11,18:00:00,19,2,7
3,Suba,3,2,4,3,1,1,1,3,22:00:00,47,1,5
1,Kennedy,3,2,2,3,3,1,1,2,19:00:00,19,2,7
2,Suba,3,2,4,7,3,1,1,2,88,42,1,6
2,Antonio Nariño,3,2,1,1,3,2,1,2,20:00:00,40,1,8
1,Teusaquillo,4,2,1,1,2,1,1,2,23:00:00,29,1,9
2,Fontibón,4,2,2,1,3,1,1,2,21:00:00,60,1,6
2,Usaquén,4,2,2,7,3,2,1,5,21:00:00,31,1,8
2,Teusaquillo,5,2,2,1,3,1,7,1,21:00:00,38,1,9
3,Chapinero,5,1,1,1,3,2,1,1,21:00:00,46,1,9
3,Suba,3,1,1,1,3,1,1,4,21:00:00,26,1,6
1,San Cristóbal,2,2,1,7,1,2,1,2,21:00:00,42,1,6
3,Kennedy,3,2,1,3,3,2,3,4,22:00:00,47,1,8
3,Ciudad Bolívar,1,2,1,1,3,1,1,1,88,43,1,5
3,Usme,2,2,1,3,3,2,1,2,21:00:00,24,1,6
3,Teusaquillo,4,1,1,2,1,1,12,1,23:00:00,23,2,7
1,Puente Aranda,3,2,1,2,3,1,6,1,22:00:00,19,2,7
3,Teusaquillo,4,2,1,3,3,1,1,4,22:00:00,37,1,2
1,Rafael Uribe Uribe,2,2,1,1,1,1,1,11,23:00:00,41,1,5
3,Usaquén,3,2,4,5,1,1,3,11,21:00:00,25,3,7
3,Engativá,3,2,2,1,3,2,1,2,21:30:00,45,1,8
3,Teusaquillo,4,1,1,1,1,1,1,2,22:00:00,41,1,8
3,Kennedy,2,2,2,3,3,1,3,2,20:30:00,36,1,8
1,Ciudad Bolívar,2,2,1,1,3,2,1,2,22:00:00,26,2,6
1,Kennedy,3,2,1,1,3,1,1,6,88,33,1,8
1,Kennedy,1,2,1,1,3,2,1,2,88,35,1,3
2,Antonio Nariño,3,3,3,1,3,1,3,1,20:00:00,71,5,5
1,Los Mártires,3,3,5,5,3,1,3,1,19:00:00,57,1,5
3,Ciudad Bolívar,2,3,5,4,1,2,3,1,18:00:00,59,5,4
3,Kennedy,2,4,5,4,1,2,3,1,19:00:00,31,1,7
2,Antonio Nariño,3,3,2,8,1,2,9,12,20:00:00,36,1,9
3,Los Mártires,3,3,3,4,4,1,3,2,18:00:00,51,1,8
3,Los Mártires,3,2,3,4,3,1,1,3,21:00:00,28,1,5
3,Los Mártires,3,4,1,4,3,2,1,1,20:00:00,29,2,5
3,Los Mártires,3,4,5,5,99,1,3,2,17:00:00,42,1,1
3,Soacha,2,1,1,4,1,2,1,5,22:00:00,33,1,4
2,Los Mártires,3,3,1,4,1,1,5,2,19:00:00,40,1,5
3,Los Mártires,3,3,4,2,2,1,5,1,22:00:00,19,3,7
3,Los Mártires,3,2,1,4,2,2,3,2,16:00:00,18,2,7
3,Los Mártires,3,2,1,4,2,2,6,3,88,30,1,8
1,Los Mártires,2,2,1,7,1,2,1,2,14:00:00,24,1,5
1,Los Mártires,3,2,1,1,1,2,12,3,20:00:00,46,1,4
1,Puente Aranda,3,3,5,1,1,2,3,1,01:00:00,42,1,8
3,Antonio Nariño,3,3,5,4,1,2,4,4,88,41,1,5
3,Puente Aranda,3,2,1,7,3,2,12,1,88,31,1,8
1,Los Mártires,3,2,1,3,3,2,3,11,23:00:00,54,1,5
1,Soacha,3,2,2,7,3,2,1,2,1900-01-01 00:00:00,46,1,5
1,Antonio Nariño,3,3,6,4,3,2,6,11,18:00:00,50,5,8
1,Antonio Nariño,3,3,5,4,3,2,1,3,88,37,1,8
3,Antonio Nariño,3,3,1,6,3,1,12,3,88,23,4,8
3,Los Mártires,3,2,1,1,1,2,5,3,88,19,2,5
3,Antonio Nariño,3,2,1,2,3,2,4,3,23:00:00,20,1,6
3,Antonio Nariño,3,3,5,5,3,2,10,2,88,30,1,6
3,Rafael Uribe Uribe,3,2,2,4,3,2,3,2,20:00:00,52,1,8
3,Los Mártires,3,4,3,5,3,2,12,2,18:00:00,40,1,8
1,Los Mártires,3,3,6,7,1,2,4,2,21:00:00,36,1,6
3,Los Mártires,3,3,3,5,3,1,3,2,20:00:00,48,1,4
3,Los Mártires,3,3,5,3,3,1,3,12,88,26,3,7
3,Los Mártires,3,3,3,7,3,1,3,1,88,41,1,3
3,Los Mártires,3,3,2,7,3,1,3,1,21:00:00,63,1,6
2,Los Mártires,3,3,2,3,3,1,3,1,88,48,1,4
3,Los Mártires,3,3,1,7,3,2,7,1,88,58,5,8
2,Los Mártires,3,2,2,7,2,2,8,3,88,23,1,5
3,Los Mártires,3,2,3,5,3,1,1,2,88,25,1,8
3,Los Mártires,3,2,3,7,3,1,3,3,88,28,1,5
3,Los Mártires,3,2,4,7,3,1,3,3,88,32,1,5
2,Los Mártires,3,3,3,4,3,2,1,2,88,29,1,6
3,Los Mártires,3,3,5,5,3,1,3,2,88,80,1,4
3,Los Mártires,3,3,6,1,3,2,5,1,88,54,1,8
1,Los Mártires,3,2,2,1,2,1,1,2,88,35,1,5
3,Los Mártires,3,1,1,4,2,2,6,1,88,55,6,9
3,Kennedy,3,3,3,5,3,1,3,1,19:00:00,20,1,5
3,Antonio Nariño,3,4,5,4,1,2,3,4,20:30:00,31,1,5
1,Antonio Nariño,3,3,5,4,3,2,4,13,20:00:00,27,1,6
2,Bosa,3,2,1,1,1,2,3,1,21:00:00,27,1,5
1,Antonio Nariño,3,3,3,4,3,2,3,1,88,63,6,8
2,Ciudad Bolívar,2,2,5,2,1,2,4,2,19:00:00,44,1,5
3,Antonio Nariño,3,4,1,5,1,2,1,2,18:30:00,29,1,8
3,Antonio Nariño,3,3,5,5,3,2,11,1,17:00:00,51,1,6
2,Los Mártires,3,2,4,4,3,2,3,1,21:00:00,28,1,8
1,Antonio Nariño,3,1,7,7,1,2,3,1,20:00:00,60,5,3
3,Los Mártires,3,3,2,5,3,2,1,2,21:30:00,17,2,7
2,Antonio Nariño,3,3,5,4,3,2,1,2,20:00:00,51,5,6
3,Antonio Nariño,3,3,6,5,1,2,1,2,20:00:00,43,1,8
1,Rafael Uribe Uribe,2,3,4,4,3,2,6,1,19:00:00,22,1,5
3,Antonio Nariño,3,2,1,5,3,2,1,2,20:00:00,52,1,8
3,Antonio Nariño,3,2,5,5,3,2,5,10,20:00:00,31,3,7
3,Antonio Nariño,3,4,5,7,3,2,1,1,21:00:00,25,3,8
3,Bosa,2,3,3,7,1,2,3,12,21:00:00,20,1,6
3,Ciudad Bolívar,1,3,1,6,3,2,3,1,21:00:00,38,1,4
1,Bosa,2,2,1,4,3,1,3,2,20:00:00,33,5,5
2,Los Mártires,3,3,3,4,3,1,6,1,21:00:00,23,2,7
3,Los Mártires,3,3,1,3,3,2,3,2,23:00:00,23,1,6
3,Los Mártires,3,2,1,6,1,2,3,4,22:00:00,26,1,8
3,Los Mártires,3,3,3,4,3,1,3,11,21:00:00,53,5,4
3,Puente Aranda,3,3,2,4,3,1,9,11,22:00:00,20,1,5
2,Antonio Nariño,3,3,1,6,3,1,3,1,18:00:00,66,5,8
3,Los Mártires,3,4,3,7,3,1,5,5,22:00:00,40,5,8
2,Los Mártires,3,3,5,6,3,1,3,4,18:00:00,24,2,7
3,Los Mártires,3,3,2,2,4,2,9,1,18:30:00,29,1,8
3,Los Mártires,2,3,1,4,3,1,1,2,21:00:00,23,3,7
2,Antonio Nariño,3,3,5,5,3,1,6,10,18:00:00,44,1,9
3,Los Mártires,3,2,2,1,3,2,3,2,21:00:00,31,1,8
3,Ciudad Bolívar,3,4,5,6,2,3,4,4,18:00:00,37,1,4
3,Los Mártires,3,4,3,5,3,1,3,3,19:00:00,39,1,6
3,Ciudad Bolívar,3,3,3,5,3,1,4,11,88,29,4,5
3,Antonio Nariño,3,4,5,5,4,1,3,12,18:00:00,31,1,9
2,Antonio Nariño,3,4,5,6,2,2,3,10,21:00:00,43,1,8
3,Antonio Nariño,3,4,5,5,3,1,3,2,16:00:00,64,7,7
3,Antonio Nariño,3,3,5,5,3,1,12,5,88,40,1,5
3,Antonio Nariño,3,4,1,5,1,1,1,11,88,23,3,7
3,Antonio Nariño,3,3,5,8,3,1,1,11,88,18,2,7
3,Antonio Nariño,3,2,2,5,4,2,3,13,22:00:00,31,1,9
3,Antonio Nariño,3,2,1,7,1,2,5,1,18:00:00,27,1,8
3,Antonio Nariño,3,4,5,6,2,3,1,2,21:00:00,41,4,8
3,Antonio Nariño,3,3,5,6,4,2,10,11,21:00:00,20,1,6
3,Antonio Nariño,3,2,3,8,1,1,1,11,20:00:00,34,3,7
3,Antonio Nariño,3,3,3,3,3,3,1,2,88,23,4,8
3,Soacha,2,4,6,7,1,2,1,10,21:00:00,37,1,5
2,Engativá,3,2,1,1,3,2,3,12,88,60,7,5
2,Engativá,2,2,1,1,3,2,1,4,88,22,1,5
3,Kennedy,1,1,1,1,3,2,1,9,88,22,1,5
2,Suba,2,3,6,7,3,1,3,6,88,34,1,6
1,Engativá,2,1,1,2,3,2,1,3,18:00:00,56,1,1
3,Tunjuelito,2,1,99,99,3,2,4,8,88,27,1,5
3,Ciudad Bolívar,2,2,2,1,1,2,3,1,21:00:00,33,1,6
1,Engativá,2,2,1,1,3,2,3,2,18:00:00,33,2,7
1,Engativá,3,3,6,7,3,1,3,2,88,25,1,8
3,Engativá,2,1,1,1,3,2,3,13,88,40,1,8
3,Engativá,2,1,2,7,3,2,1,1,22:00:00,33,1,6
1,Engativá,2,3,5,6,3,2,1,2,88,21,2,7
3,Usme,3,2,2,7,3,1,1,12,88,20,3,7
3,Usaquén,4,1,6,7,3,2,1,2,22:00:00,26,1,8
3,La Candelaria,2,2,2,1,3,2,1,2,88,27,1,6
2,Fontibón,2,3,1,7,3,2,3,1,88,28,3,7
